width,depth,seed,batch_size,N,D,epochs,steps,C_proxy,total_flops,final_test_loss_avg_last5,final_test_acc_avg_last5,best_test_loss,best_test_acc
8,2,0,256,18738,50000,50,9800,46845000000,20302975795200.0,0.6128913551330566,0.7849800000000001,0.6098921968460083,0.7863
16,2,0,256,73178,50000,50,9800,182945000000,76119962419200.0,0.4227814831638336,0.8593,0.4213575976848602,0.8613
32,2,0,256,289194,50000,50,9800,722985000000,294295968153600.0,0.329066179523468,0.8979800000000001,0.3271556893348694,0.8992
64,2,0,256,1149770,50000,50,9800,2874425000000,1156816109568000.0,0.3007181368303299,0.91274,0.2989645813941955,0.9136
128,2,0,256,4585098,50000,50,9800,11462745000000,4586528912179200.0,0.250181300907135,0.92502,0.2487513134956359,0.9263
32,1,0,256,94986,50000,50,9800,237465000000,79485527654400.0,0.5130040375423432,0.82264,0.5080857501029968,0.8242
32,3,0,256,483402,50000,50,9800,1208505000000,509106408652800.0,0.2983524521255493,0.91096,0.2961928098678589,0.9122
32,4,0,256,677610,50000,50,9800,1694025000000,723916849152000.0,0.2998416918563843,0.9138,0.2977156147956848,0.9151
32,5,0,256,871818,50000,50,9800,2179545000000,938727289651200.0,0.3044479018807411,0.91566,0.3035250215291977,0.9163
32,2,0,256,289194,3125,50,650,45186562500,19519630540800.0,0.9910316597938538,0.67822,0.977320337677002,0.6819
32,2,0,256,289194,6250,50,1250,90373125000,37537751040000.0,0.7724545965385436,0.7666999999999999,0.7696927042007446,0.7686
32,2,0,256,289194,12500,50,2450,180746250000,73573992038400.0,0.6148288423538208,0.82012,0.612813233757019,0.8213
32,2,0,256,289194,25000,50,4900,361492500000,147147984076800.0,0.4680388165235519,0.8632,0.4662866438150406,0.8652
8,2,0,256,18738,6250,50,1250,5855625000,2589665280000.0,0.9648600988388064,0.6662399999999999,0.9625600067138672,0.6677
8,2,0,256,18738,12500,50,2450,11711250000,5075743948800.0,0.8217269073867799,0.71554,0.8189833275794983,0.7167
8,2,0,256,18738,25000,50,4900,23422500000,10151487897600.0,0.6790257844161987,0.76678,0.6748384644508362,0.7685
16,2,0,256,73178,6250,50,1250,22868125000,9709178880000.0,0.821202550945282,0.73018,0.8179873494148254,0.7319
16,2,0,256,73178,12500,50,2450,45736250000,19029990604800.0,0.6332847516632081,0.7938799999999999,0.6296594167709351,0.7951
16,2,0,256,73178,25000,50,4900,91472500000,38059981209600.0,0.5157809746932983,0.8264999999999999,0.5129645677566528,0.8282
64,2,0,256,1149770,6250,50,1250,359303125000,147553075200000.0,0.7478283648300171,0.78456,0.7414592702865601,0.7852
64,2,0,256,1149770,12500,50,2450,718606250000,289204027392000.0,0.6058412967205048,0.83646,0.6050986840248108,0.8369
64,2,0,256,1149770,25000,50,4900,1437212500000,578408054784000.0,0.43924568291664123,0.88178,0.4383415096282959,0.8836
