width,depth,seed,batch_size,N,D,epochs,steps,C_proxy,total_flops,final_test_loss_avg_last5,final_test_acc_avg_last5,best_test_loss,best_test_acc
16,2,1,256,73178,50000,198,38808,724462200000,301435051180032.0,0.4056868811416626,0.8695,0.4051664694786072,0.8702
24,2,1,256,163330,50000,89,17444,726818500000,298062708572160.0,0.352636256211996,0.8867,0.3513771593183279,0.8872
32,2,1,256,289194,50000,50,9800,722985000000,294295968153600.0,0.3310833875465393,0.8967600000000001,0.3299163455486297,0.8972
40,2,1,256,450770,50000,32,6272,721232000000,292259191848960.0,0.3158459945964814,0.8990400000000001,0.3100897850036621,0.9011
48,2,1,256,648058,50000,22,4312,712863800000,287992327569408.0,0.3387367488408088,0.8879400000000001,0.3223113705396652,0.8923
56,2,1,256,881058,50000,16,3136,704846400000,284132818550784.0,0.3630924731469154,0.88056,0.3288807056427002,0.891
64,2,1,256,1149770,50000,13,2548,747350500000,300772188487680.0,0.4361123481988906,0.8549599999999999,0.3475228369712829,0.8821
72,2,1,256,1454194,50000,10,1960,727097000000,292246234398720.0,0.5155741220998764,0.82792,0.3656045671701431,0.8792
80,2,1,256,1794330,50000,8,1568,717732000000,288185639239680.0,0.6573426107978821,0.7811000000000001,0.4236232356548309,0.8559
40,2,2,256,450770,50000,32,6272,721232000000,292259191848960.0,0.3242833411478996,0.89474,0.3172576217621565,0.8982
44,2,2,256,544950,50000,27,5292,735682500000,297622215475200.0,0.3374007217597962,0.8920600000000001,0.3252733332633972,0.8953
48,2,2,256,648058,50000,22,4312,712863800000,287992327569408.0,0.3401801060628891,0.8899800000000001,0.31978272087574,0.8953
52,2,2,256,760094,50000,19,3724,722089300000,291377268768768.0,0.3492940001821518,0.88504,0.3228154856204986,0.8925
32,2,2,256,289194,50000,50,9800,722985000000,294295968153600.0,0.3255756180763244,0.8971,0.3229795904159546,0.8984
36,2,2,256,365518,50000,40,7840,731036000000,296828981084160.0,0.3136296204137802,0.9006399999999999,0.3092145606517791,0.9021
36,2,2,256,365518,50000,40,7840,731036000000,296828981084160.0,0.3136296204137802,0.9006399999999999,0.3092145606517791,0.9021
36,2,1,256,365518,50000,40,7840,731036000000,296828981084160.0,0.31571398774147036,0.89682,0.31372056331634524,0.8987
