width,depth,seed,batch_size,N,D,epochs,steps,C_proxy,total_flops,final_test_loss_avg_last5,final_test_acc_avg_last5,best_test_loss,best_test_acc
8,2,0,256,18738,50000,25,4900,23422500000,10151487897600.0,0.6819235647010803,0.7650399999999999,0.6709882308959961,0.77
8,2,0,256,18738,50000,50,9800,46845000000,20302975795200.0,0.6128913551330566,0.7849800000000001,0.6098921968460083,0.7863
8,2,0,256,18738,50000,75,14700,70267500000,30454463692800.0,0.5905630535125732,0.79512,0.5892781843185425,0.7964
8,2,0,256,18738,50000,100,19600,93690000000,40605951590400.0,0.5762302920722961,0.80632,0.5752276295661927,0.8083
16,2,0,256,73178,50000,25,4900,91472500000,38059981209600.0,0.4817267406368256,0.8391,0.4675473920345306,0.8441
16,2,0,256,73178,50000,50,9800,182945000000,76119962419200.0,0.4227814831638336,0.8593,0.4213575976848602,0.8613
16,2,0,256,73178,50000,75,14700,274417500000,114179943628800.0,0.4091901387310027,0.8614,0.4080842870235443,0.8621
16,2,0,256,73178,50000,100,19600,365890000000,152239924838400.0,0.3968664741897583,0.8684,0.3960063033103942,0.8691
32,2,0,256,289194,50000,25,4900,361492500000,147147984076800.0,0.3629402728080749,0.8810400000000002,0.3521206884622573,0.8836
32,2,0,256,289194,50000,50,9800,722985000000,294295968153600.0,0.329066179523468,0.8979800000000001,0.3271556893348694,0.8992
32,2,0,256,289194,50000,75,14700,1084477500000,441443952230400.0,0.323446079082489,0.8991399999999998,0.3217305419921875,0.8995
32,2,0,256,289194,50000,100,19600,1445970000000,588591936307200.0,0.3306561119461059,0.90198,0.3288691160202026,0.9026
64,2,0,256,1149770,50000,25,4900,1437212500000,578408054784000.0,0.3151087341690063,0.90284,0.3046288491249084,0.9062
64,2,0,256,1149770,50000,50,9800,2874425000000,1156816109568000.0,0.2915208370995521,0.91698,0.2881194578588009,0.918
64,2,0,256,1149770,50000,75,14700,4311637500000,1735224164352000.0,0.2853736889457702,0.91662,0.2845092181682587,0.917
64,2,0,256,1149770,50000,100,19600,5748850000000,2313632219136000.0,0.2761555107593537,0.9218,0.2747288228034973,0.9224
